id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31178,480e7f37-4707-417f-8c62-4f29dcf4464f,"September 02, 2011 16:17",2011-09-02,2011-09-02 20:17:00 UTC,Eastern Time (US & Canada),"~5 hyaenas hanging out with a large <a href=""http://www.inaturalist.org/observations/31177"">wild dog pack</a>.  Dogs completely unbothered.  

Face-to-face picture is a dog vomiting and a hyaena coming to clean up.","Mpala Ranch, Laikipia, Kenya",0.29862,36.88652,,,,,,,open,false,,,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
31374,39c1d687-e53c-458c-b3ce-2f5986aeac66,"September 02, 2011 18:33",2011-09-02,2011-09-02 22:33:00 UTC,Eastern Time (US & Canada),"Spotted hyaena being harassed by wild dogs on the move.  

Part of <a href=""http://www.inaturalist.org/observations/31177"">this observation</a> of a large wild dog pack.","Mpala Ranch, Laikipia, Kenya",0.3203184608,36.8534660339,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
32448,c6b2bab8-4d76-4717-9954-dc5579dcb287,"September 13, 2011 07:50",2011-09-13,2011-09-13 11:50:00 UTC,Eastern Time (US & Canada),Near-urban hyaena.,"Nairobi NP, Kenya",-1.34027,36.81889,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
236116,8251f459-3f54-464c-a519-99606887a76b,2009-10-11,2009-10-11,,Nairobi,"Single animal on the flats west  of Lion's Bluff Lodge, at sunset.","Lumo Wildlife Conservancy, Kenya",-3.4974093043,38.2034068107,,,,,,,,false,,,Eastern Aardwolf,Proteles septentrionalis,Eastern Aardwolf,Mammalia,1431008
543438,eb87db3b-0821-4533-8789-b7fb3dfe237d,2013-12-21 23:33:11,2013-12-21,2013-12-21 20:33:11 UTC,Nairobi,"","Lolldaiga Hills, Lolldaiga Hills Conservation Lanscape",0.33667,37.10825,10,,,,10,,open,false,,"",Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
704770,14d6272f-19d2-48fc-833b-7f2d1518b9b0,2014-03-31 18:41,2014-03-31,2014-03-31 15:41:00 UTC,Nairobi,Camera trap image obtained by the Lolldaiga Hills Research Programme and the EDGE Instant Wild Programme of The Zoological Society of London (edgeofexistence.org).,"Lolldaiga Hills, Lolldaiga Hills Conservation Landscape, Laikipia",0.33667,37.10825,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
843624,b18fd618-c847-4a2b-bc27-9e342734e9b1,"August 07, 2014 17:24",2014-08-07,2014-08-07 14:24:00 UTC,Nairobi,"",Mara Triangle,-1.553156,35.029908,40,,,,40,,open,false,,manual,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
843650,9f950230-6ef0-4c8c-a8fd-a2e2a50d70cd,"August 08, 2014 07:17",2014-08-08,2014-08-08 04:17:00 UTC,Nairobi,"This was interesting and brutal behavior to watch. A single (likely male) hyaena pursued and downed a wildebeest calf, with the mother chasing behind. It's not clear whether the original hunter got to eat any of its prey, because 5+ hyaenas appeared from a nearby creek drainage to consume the kill. First, the matriarch (confirmed by the researchers I was with) lay down in the shade nearby, while her two half-grown cubs got to eat first from the still living (and groaning) calf. Several other hyaenas eventually joined in, and the calf finally stopped moving minutes later.",Mara Triangle,-1.438017,35.037169,40,,,,40,,open,false,,manual,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
843657,79223a46-85b7-4c46-babd-e0df568cd7d4,"August 08, 2014 08:12",2014-08-08,2014-08-08 05:12:00 UTC,Nairobi,"",Mara Triangle,-1.415939,35.024892,40,,,,40,,open,false,,manual,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
843679,6725da02-077d-4122-bd0b-70b1de6f352e,"August 08, 2014 06:34",2014-08-08,2014-08-08 03:34:00 UTC,Nairobi,At a den.,"Narok, KE",-1.5842744178,35.1640370714,40,,,,31446,obscured,open,true,,manual,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
