id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
843703,86a05655-2d1f-4389-a6fb-2df744efdb7a,"August 08, 2014 17:23",2014-08-08,2014-08-08 14:23:00 UTC,Nairobi,"",Mara Triangle,-1.377017,34.997219,40,,,,40,,open,false,,manual,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
859959,40539635-0183-4dc3-9812-17a9a7d31fa0,2013-10-29 ,2013-10-29,,Pacific Time (US & Canada),"",Maasai Mara,-1.48314,35.124251,29695,,,,29695,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
1068457,a8f60f92-05fc-4a3d-8876-146d13b0f182,1989-02-02,1989-02-02,,Harare,"",Maasai Mara,-1.386888,34.948883,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
1382614,27236a38-1c6b-439c-801c-5c93e83e4951,2015-04-03 06:40:39,2015-04-03,2015-04-03 03:40:39 UTC,Nairobi,,"Masai Mara, Narok, Rift Valley, Kenya",-1.3009466667,35.0454133333,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
1500378,97aa71a1-2f04-46b8-a1e3-4bc1914baf0d,2/12/2014,2014-02-12,,Melbourne,"","Maasai Mara, Kenya",-1.40626,35.110517,30000,,,,30000,,open,false,,,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
1505022,871b5537-e2e4-4aa4-99b4-53c1280dab3b,20/07/2014,2014-07-20,,Melbourne,"","Maasai Mara, Kenya",-1.581981,35.2451,54140,,,,54140,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2019912,b3164ac9-8f07-4049-8dd2-9fb1d46bac7a,2015-08-28 08:43,2015-08-28,2015-08-28 05:43:00 UTC,Nairobi,"",Maasai Mara,-1.39238,35.017548,17697,,,,17697,,open,false,,,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2028153,e91779e9-3b21-4219-86b4-aa3ab616a052,2015-09-26,2015-09-26,,Nairobi,"Photograph by Tom Butynski & Yvonne de Jong, wildsolutions.nl","Samburu North, KE-SA, KE",1.8341025001,36.8535599294,10,,,,31442,,obscured,true,,,Iena striata,Hyaena hyaena,Striped Hyaena,Mammalia,41888
2748274,4e48bbde-fce4-4f32-af2e-cae12b3ea2da,2014-08-28 09:24:37,2014-08-28,2014-08-28 13:24:37 UTC,Eastern Time (US & Canada),Maasai Mara National Reserve,"Mara, Tanzania",-1.537425,35.124494,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2786340,d5520ab8-6a10-4488-a55d-298c980243cf,2009-06-22 06:27:56,2009-06-22,2009-06-22 10:27:56 UTC,Eastern Time (US & Canada),"","Mpala, Laikipia, Kenya",0.28413,36.9102,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2786708,a268d26a-a404-4598-afe9-51dc6842d924,2009-06-25 07:27:01,2009-06-25,2009-06-25 11:27:01 UTC,Eastern Time (US & Canada),"","Mpala, Laikipia, Kenya",0.28413,36.9102,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2794807,ee5e8bba-1a90-4760-a4de-1656db985cea,2009-07-22 17:08:21,2009-07-22,2009-07-22 21:08:21 UTC,Eastern Time (US & Canada),Hyena den,"Ol Pejeta Conservancy, Kenya",0.072776,36.953073,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2794814,d19b92b0-8d39-4b9f-bae7-8138f656fbd1,2009-07-23 17:46:27,2009-07-23,2009-07-23 21:46:27 UTC,Eastern Time (US & Canada),"","Ol Pejeta Conservancy, Kenya",0.04622,36.932859,,,,,,,open,false,,,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2794847,9ac4c607-38cc-4688-ad02-255c1310e183,2009-07-29 17:00:31,2009-07-29,2009-07-29 21:00:31 UTC,Eastern Time (US & Canada),Hyena den,"Ol Pejeta Conservancy, Kenya",0.074201,36.953201,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2794848,6554ff4a-0d35-4320-9337-c7d4ee8458a1,2009-07-29 17:05:14,2009-07-29,2009-07-29 21:05:14 UTC,Eastern Time (US & Canada),"","Ol Pejeta Conservancy, Kenya",0.04622,36.932859,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2794857,280ff3b8-8531-4b8b-abdd-5ca951099256,2009-07-30 18:00:24,2009-07-30,2009-07-30 22:00:24 UTC,Eastern Time (US & Canada),hyena den,"Ol Pejeta Conservancy, Kenya",0.07463,36.952944,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2798547,8c42d078-94e5-4ba2-96b6-3ec9292d7e9e,2010-05-15 17:34:10,2010-05-15,2010-05-15 21:34:10 UTC,Eastern Time (US & Canada),"","Ol Pejeta Conservancy, Kenya",0.083127,36.837416,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2798707,d0eceb7e-d29e-472d-b88c-ab7d7d22a436,2010-06-15 18:32:00,2010-06-15,2010-06-15 22:32:00 UTC,Eastern Time (US & Canada),"",Ol Pejeta Conservancy,0.04622,36.932859,,,,,,,open,false,,,hyena skvrnitá,Crocuta crocuta,Spotted Hyena,Mammalia,41886
2839374,3edbb50f-d315-4a2f-b21d-2617d906abc2,2014-08-28 06:47:06,2014-08-28,2014-08-28 10:47:06 UTC,Eastern Time (US & Canada),Maasai Mara National Reserve,"Nakuru, Rift Valley, Kenya",-1.493414,35.160636,,,,,,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3206300,4c65d356-54eb-4e5e-bb61-70058ba7aec9,2013/07/15,2013-07-15,,Eastern Time (US & Canada),There was a den of baby hyenas near the centre.,"Laikipia District, Kenya",0.2922342,36.8980443,2000,,,,2000,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3572549,ed03ad60-f286-4b61-83c7-ed9faf26163b,2009-09-11,2009-09-11,,Nairobi,"",Ol Pejeta,0.027731,36.863806,,,,,,,open,false,,,Crocuta crocuta,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3652742,0aaaba06-23db-40a1-8567-57e0ba1666a4,2016-05-13 10:04:10 AM EAT,2016-05-13,2016-05-13 07:04:10 UTC,Nairobi,,"Isiolo North, KE-IS, KE",0.4589976943,37.4231378732,3900,,,,31450,,obscured,true,,,Striped hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
3652745,12e42c0a-156f-40d9-9041-f90cecb88717,2016-07-02 4:48:24 PM EAT,2016-07-02,2016-07-02 13:48:24 UTC,Nairobi,,Isiolo,0.3958981,37.5949053,4199,,,,4199,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3652746,e1538eee-6626-46ef-b995-061cecb0fdc0,2016-07-03 6:51:26 AM EAT,2016-07-03,2016-07-03 03:51:26 UTC,Nairobi,,"Isiolo North, KE-IS, KE",0.4942643607,37.7254073647,2900,,,,31450,,obscured,true,,,Striped Hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
3652749,5665baa0-b952-4413-a151-1c2f3dfb5332,2016-07-03 8:09:20 AM EAT,2016-07-03,2016-07-03 05:09:20 UTC,Nairobi,,"Isiolo North, KE-IS, KE",0.4251976685,37.5303863993,3400,,,,31451,,obscured,true,,,Striped Hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
3697148,c23cb15c-4f61-4125-b3c2-0c14a07552d9,2016-07-18 9:39:42 AM GMT+03:00,2016-07-18,2016-07-18 06:39:42 UTC,Baghdad,,"Kilome, KE-MK, KE",-1.8043264,37.22413596,10,,,,10,,open,false,,,spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3697267,d2c1b716-298f-4def-a948-b23a81545381,2016-07-18 10:27:43 AM GMT+03:00,2016-07-18,2016-07-18 07:27:43 UTC,Baghdad,Walking    along   ict   fence,Unnamed Road,-1.71722218,37.17104498,8,,,,8,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3697291,c01afbe8-f4c7-4fa9-86da-37da5f0cacdc,2016-07-18 10:45:45 AM GMT+03:00,2016-07-18,2016-07-18 07:45:45 UTC,Baghdad,"With cub 
GPS 0303378 9800588",Makueni,-1.80372173,37.23239671,8,,,,8,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3697469,c04308bb-99a9-41b2-b278-a3e0c9485546,2016-07-18 11:48:23 AM GMT+03:00,2016-07-18,2016-07-18 08:48:23 UTC,Baghdad,,Makueni,-1.7908655,37.23445216,7,,,,7,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3697473,b5ade5dc-996f-43ea-aa82-bfe827c40c85,2016-07-18 11:52:54 AM GMT+03:00,2016-07-18,2016-07-18 08:52:54 UTC,Baghdad,Spotted and stripped hyena took water from same point at dam ,"Kilome, KE-MK, KE",-1.79025186,37.23569729,10,,,,10,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3702934,05369fa8-f907-4ce8-a9b7-6cf0b2bc9b08,2016-07-19 10:53:46 AM GMT+03:00,2016-07-19,2016-07-19 07:53:46 UTC,Baghdad,Track of a spotted hyena ,Makueni,-1.77871022,37.24273513,9,,,,9,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3703055,392ee6c5-1819-4d4d-8f9a-a889d3d273a2,2016-07-19 11:28:45 AM GMT+03:00,2016-07-19,2016-07-19 08:28:45 UTC,Baghdad,Month old tracks of a spotted hyena at Ulu conservancy ,Makueni,-1.7824364,37.24518667,7,,,,7,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3703110,c238f966-01b4-43f0-ab2d-dc24f722ab06,2016-07-19 12:37:04 PM GMT+03:00,2016-07-19,2016-07-19 09:37:04 UTC,Baghdad,Tracks,Makueni,-1.77438968,37.2513157,18,,,,18,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3916622,2c09bb91-7147-439a-a18f-2723daf6f078,2016-08-19 2:33:16 PM GMT+03:00,2016-08-19,2016-08-19 11:33:16 UTC,Baghdad,"Highway accident knocked to the roadside , there laid dead.","Kilome, KE-MK, KE",-1.81137102,37.22597665,13,,,,13,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
3994282,4e8f1d7e-3d09-4e91-ab22-e9e58ebabd1a,2016-08-30 4:04:34 PM GMT+03:00,2016-08-30,2016-08-30 13:04:34 UTC,Baghdad,A spotted hyena cub killed  between Archers post and Lerata centre,"Samburu East, KE-SA, KE",0.7265732195,37.5958094874,4,,,,4,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4016708,c1428c19-169d-4fd4-b767-eafbbccd9261,2016-09-02 11:20:11 AM GMT+03:00,2016-09-02,2016-09-02 08:20:11 UTC,Baghdad,Track 1,Kenya,0.6991316718,37.0296190774,8,,,,31450,,obscured,true,,,Striped Hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
4019589,1f923af8-f82d-4fb3-834c-48fd1c2cc6cd,2014/01/17 7:14 PM CST,2014-01-17,2014-01-18 01:14:00 UTC,Central Time (US & Canada),,"Nakuru County, Kenya",-0.8676407085,36.3650894165,488,,,,488,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4025667,f999a508-1d2a-48f4-a224-f66b50459a23,2016-09-01 7:55:09 AM GMT+03:00,2016-09-01,2016-09-01 04:55:09 UTC,Baghdad,,Kenya,0.6333228758,37.0717049678,7,,,,31450,,obscured,true,,,striped hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
4025671,ff97a042-b48a-4f3c-98b5-fd6d94502466,2016-09-01 8:28:40 AM GMT+03:00,2016-09-01,2016-09-01 05:28:40 UTC,Baghdad,1track,Kenya,0.761675146,37.0839495009,7,,,,31450,,obscured,true,,,striped hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
4025676,6d079302-a31d-4de6-a138-0290b0658bd5,2016-09-01 8:53:59 AM GMT+03:00,2016-09-01,2016-09-01 05:53:59 UTC,Baghdad,1 track,Kenya,0.7227691029,37.0960882481,8,,,,31450,,obscured,true,,,striped hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
4031349,5404b030-0715-4625-981b-bb3653ffabe5,2016-09-04 7:06:30 AM GMT+03:00,2016-09-04,2016-09-04 04:06:30 UTC,Baghdad,Track 1,"Samburu East, KE-SA, KE",0.88113252,37.05991797,9,,,,9,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4038909,43f2cd2a-5863-458b-ab13-5cb962138622,2016-09-05 9:22:25 AM GMT+03:00,2016-09-05,2016-09-05 06:22:25 UTC,Baghdad,Track 1,"Samburu East, KE-SA, KE",0.80871381,37.20025154,7,,,,7,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4046643,bb591ac4-5de9-4583-be40-ca8e07d53673,2016-09-06 8:21:31 AM GMT+03:00,2016-09-06,2016-09-06 05:21:31 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.91370023,37.27235327,6,,,,6,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4046983,7802fc04-e2ab-4ccb-9754-13796de5de83,2016-09-06 10:09:45 AM GMT+03:00,2016-09-06,2016-09-06 07:09:45 UTC,Baghdad,2 Track,"Samburu East, KE-SA, KE",0.93217987,37.28016706,7,,,,7,,open,false,,,Spotted  hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4048069,ef505cc0-95c6-4fc9-9076-adc615c0766b,2016-09-06 7:00:14 AM GMT+03:00,2016-09-06,2016-09-06 04:00:14 UTC,Baghdad,Track 1,"Samburu East, KE-SA, KE",0.88614463,37.05883467,3,,,,3,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4053917,693122aa-558a-4696-8d7a-d30e763a02cc,2016-09-07 8:11:31 AM GMT+03:00,2016-09-07,2016-09-07 05:11:31 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.89943963,37.26965244,7,,,,7,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4054088,9126221e-4b0b-4945-b96e-72c181e86179,2016-09-07 8:58:34 AM GMT+03:00,2016-09-07,2016-09-07 05:58:34 UTC,Baghdad,2 Track,"Samburu East, KE-SA, KE",0.89164211,37.28602292,3,,,,3,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4056737,5224a3a1-776a-4e31-845c-ac61f7f86995,2016-09-04 9:11:59 AM GMT+03:00,2016-09-04,2016-09-04 06:11:59 UTC,Baghdad,1 track,"Samburu East, KE-SA, KE",0.8849093717,37.2382609718,6,,,,6,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4061801,7475e68b-fdad-45af-b106-849653b2ccf9,2016-09-08 7:27:47 AM GMT+03:00,2016-09-08,2016-09-08 04:27:47 UTC,Baghdad,1   hyeana   track   sighted  at  memea    malili ,New Malili Ranch Road,-1.76628137,37.24021545,7,,,,7,,,false,,,hyeana  track,Hyaenidae,Hyaenas,Mammalia,41884
4061944,773628a5-9f81-471a-a9e4-1327cbc73e71,2016-09-08 8:11:02 AM GMT+03:00,2016-09-08,2016-09-08 05:11:02 UTC,Baghdad,2Track,"Samburu East, KE-SA, KE",0.90354906,37.26347122,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4062410,67c4bc10-1be6-4c53-ac6d-5255740dc1f6,2016-09-08 9:34:50 AM GMT+03:00,2016-09-08,2016-09-08 06:34:50 UTC,Baghdad,1track ,"Samburu East, KE-SA, KE",0.77619482,37.22063746,4,,,,4,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4062412,71e7c169-099f-4710-af92-c4cc6c52b657,2016-09-08 10:00:41 AM GMT+03:00,2016-09-08,2016-09-08 07:00:41 UTC,Baghdad,1track ,"Samburu East, KE-SA, KE",0.76662468,37.22374447,6,,,,6,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4062432,91b197e9-b6ef-481c-9e67-e4cf212b7cdf,2016-09-08 10:55:04 AM GMT+03:00,2016-09-08,2016-09-08 07:55:04 UTC,Baghdad,1 1track ,"Isiolo North, KE-IS, KE",0.75442948,37.23780205,6,,,,6,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4062907,3e197acf-ccbe-4cfd-80aa-8bcfb946a85b,2016-09-08 1:39:49 PM GMT+03:00,2016-09-08,2016-09-08 10:39:49 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.85696845,37.25358665,10,,,,10,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4069935,353eff39-bccb-41b0-b77a-406c73cbaa6f,2016-09-09 8:39:11 AM GMT+03:00,2016-09-09,2016-09-09 05:39:11 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.90878774,37.26055663,9,,,,9,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4076790,097a5d2a-c8c7-4a31-bffd-e07908c1f8bc,2016-09-10 10:13:49 AM GMT+03:00,2016-09-10,2016-09-10 07:13:49 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.9052651,37.24212234,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4076793,7884402d-a5be-4b57-b80f-a999270a943a,2016-09-10 11:07:31 AM GMT+03:00,2016-09-10,2016-09-10 08:07:31 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.91418939,37.23869996,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4085535,73fd89f6-6074-4b03-b18d-1048a57b176d,2016-09-11 7:10:33 AM GMT+03:00,2016-09-11,2016-09-11 04:10:33 UTC,Baghdad,Track 1,"Samburu East, KE-SA, KE",0.87221729,37.0669381,12,,,,12,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4099310,fc2a56ac-dd4a-4b11-b617-e72a9085686f,2016-09-13 11:39:45 AM GMT+03:00,2016-09-13,2016-09-13 08:39:45 UTC,Baghdad,1Track,"Samburu East, KE-SA, KE",0.90000952,37.21413324,4,,,,4,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4099312,80903c9b-eb26-4c4e-b077-01e4d2c344a1,2016-09-13 12:08:42 PM GMT+03:00,2016-09-13,2016-09-13 09:08:42 UTC,Baghdad,2Track,"Samburu East, KE-SA, KE",0.89445524,37.20358153,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4106813,6407b318-9cb9-4476-b3ae-4fc3bab123d7,2016-09-14 8:20:38 AM GMT+03:00,2016-09-14,2016-09-14 05:20:38 UTC,Baghdad,1track ,"Samburu East, KE-SA, KE",0.8089828,37.20074367,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4106816,22c6d6c3-8545-4485-b2ba-cc519b9352f3,2016-09-14 9:22:08 AM GMT+03:00,2016-09-14,2016-09-14 06:22:08 UTC,Baghdad,1 track ,"Samburu East, KE-SA, KE",0.81928984,37.25057416,6,,,,6,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4107713,9bce3077-fd94-4046-b5b2-6787299ad816,2016-09-13 7:44:09 AM GMT+03:00,2016-09-13,2016-09-13 04:44:09 UTC,Baghdad,Track 1,"Samburu East, KE-SA, KE",0.87907365,37.07614277,4,,,,4,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4107723,6627450c-f315-4660-8712-bda7585037f9,2016-09-13 11:42:16 AM GMT+03:00,2016-09-13,2016-09-13 08:42:16 UTC,Baghdad,Track 3,"Samburu East, KE-SA, KE",0.88743829,37.09364554,6,,,,6,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4113253,e81ed919-cec6-4558-bcdf-30ee8440fe87,2016-09-15 8:50:27 AM GMT+03:00,2016-09-15,2016-09-15 05:50:27 UTC,Baghdad,1track ,"Samburu East, KE-SA, KE",0.76807312,37.15444507,4,,,,4,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4113342,172e0ad8-8a1f-4772-8473-e5e566ed3634,2016-09-15 9:14:12 AM GMT+03:00,2016-09-15,2016-09-15 06:14:12 UTC,Baghdad,2 1track ,"Samburu East, KE-SA, KE",0.77548284,37.1577901,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4113385,6f69c1d4-df37-4ff5-9504-7ab5cb85b880,2016-09-15 8:05:09 AM GMT+03:00,2016-09-15,2016-09-15 05:05:09 UTC,Baghdad,1 Track,"Samburu East, KE-SA, KE",0.90904535,37.25955568,5,,,,5,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4113388,4fd7a9cf-932b-40ab-80c8-62ab5324ed3f,2016-09-15 9:09:43 AM GMT+03:00,2016-09-15,2016-09-15 06:09:43 UTC,Baghdad,3 Track,"Samburu East, KE-SA, KE",0.9038293,37.25422783,8,,,,8,,open,false,,,Spotted hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4121310,62416fad-08a6-455e-89eb-55b8727afa01,2016-09-16 7:41:34 AM GMT+03:00,2016-09-16,2016-09-16 04:41:34 UTC,Baghdad,1 track less than12 hours old,Kenya,0.6320665977,37.0537845896,7,,,,31450,,obscured,true,,,Striped Hyena,Hyaena hyaena,Striped Hyaena,Mammalia,41888
4121607,544b2ac1-e7cd-4ffe-b652-e2a08fd2fca1,2016-09-16 9:34:38 AM GMT+03:00,2016-09-16,2016-09-16 06:34:38 UTC,Baghdad,1Track,"Samburu East, KE-SA, KE",0.90068361,37.23120418,10,,,,10,,open,false,,,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886
4128246,029e4b74-32a8-4de5-9310-af8daf86e2db,2016-09-17 9:34:08 AM GMT+03:00,2016-09-17,2016-09-17 06:34:08 UTC,Baghdad,1 spotted  hyeana   track   at   ict,Unnamed Road,-1.71718682,37.17103657,6,,,,6,,open,false,,,hyeana,Crocuta crocuta,Spotted Hyena,Mammalia,41886
