observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2009-07-10 11:57:20,2009-07-10,2009-07-10 15:57:20 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.0753795851,36.8353897018,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2009-07-10 15:09:35,2009-07-10,2009-07-10 19:09:35 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.0511723606,36.8165621224,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2009-07-25 16:19:53,2009-07-25,2009-07-25 20:19:53 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.1985266471,36.8676091287,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2009-07-29 17:54:48,2009-07-29,2009-07-29 21:54:48 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.1066055814,36.9002806156,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2010-04-16 07:53:18,2010-04-16,2010-04-16 11:53:18 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.0394827839,36.875524619,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2010-05-05 17:50:53,2010-05-05,2010-05-05 21:50:53 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.1949920254,36.8513072242,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2010-06-29 17:57:47,2010-06-29,2010-06-29 21:57:47 UTC,Eastern Time (US & Canada),"Laikipia, KE",0.1823337991,36.9660184428,,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
1987-07-28,1987-07-28,,Eastern Time (US & Canada),Kenya,-2.8060228071,38.1908061951,,,,,31431,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2005-08-01,2005-08-01,,London,"Nakuru, KE",-0.2605875642,36.1436134435,7659,,,,7659,,obscured,true,,google,African Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2014/01/17 12:21 PM CST,2014-01-17,2014-01-17 18:21:00 UTC,Central Time (US & Canada),Kenya,-0.9557751331,36.2736667532,488,,,,31449,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2005-07-27,2005-07-27,,London,"Narok, KE",-1.221710682,34.9150198524,11963,,,,11963,,obscured,true,,manual,African buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
1999/10/25,1999-10-25,,Paris,"Tsavo East, Voi, KE-TT, KE",-3.1713634154,38.4658838647,244,,,,244,,obscured,true,,,Cape Buffalo (African Buffalo),Syncerus caffer,African Buffalo,Mammalia,42405
1998-10-25,1998-10-25,,Nuku'alofa,"Nakuru, KE",-0.2068936152,36.1729800046,658,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2016-11-05,2016-11-05,,Nairobi,Kenya,-0.6684317433,36.421203517,1673,,,,31450,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2009/03/12 11:39 AM EDT,2009-03-12,2009-03-12 15:39:00 UTC,Eastern Time (US & Canada),Kenya,0.4873660795,36.2868013221,4046,,,,31451,obscured,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2012/10/07 1:51 PM HST,2012-10-07,2012-10-07 23:51:00 UTC,Hawaii,"Tsavo East, Voi, KE-TT, KE",-3.3237178337,38.9217643844,1953,,,,1953,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2012/10/05 2:11 PM HST,2012-10-05,2012-10-06 00:11:00 UTC,Hawaii,"Kwale, KE",-4.3755222623,39.4742921368,3906,,,,31407,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
"September 09, 2009 23:17",2009-09-09,2009-09-10 06:17:00 UTC,Pacific Time (US & Canada),"Laikipia, KE",0.1043795499,36.8465621063,326,,,,31451,,obscured,true,,manual,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2016/12/27 2:03 AM CST,2016-12-27,2016-12-27 08:03:00 UTC,Central Time (US & Canada),Kenya,-0.8774728038,36.3558084792,,,,,31449,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
Sun Jan 08 2017 06:21:39 GMT+0000 (GMT),2017-01-08,2017-01-08 06:21:39 UTC,UTC,Kenya,-0.9119896108,36.3859784431,,,,,31449,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2012/10/10 6:29 AM HST,2012-10-10,2012-10-10 16:29:00 UTC,Hawaii,"Kajiado South, KE-KJ, KE",-2.6120812291,37.2257659521,7813,,,,31434,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/01/29 10:49 AM EST,2017-01-29,2017-01-29 15:49:00 UTC,Eastern Time (US & Canada),"Taita Taveta, KE",-3.4802682019,38.2983226229,,,,,31422,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
Sun Mar 05 2017 00:00:53 GMT+0300 (GMT+3),2017-03-05,2017-03-04 21:00:53 UTC,Baghdad,Kenya,-1.3806954829,36.8689566237,2024,,,,31447,,obscured,true,,"",Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2009/08/21 8:59 AM PDT,2009-08-21,2009-08-21 15:59:00 UTC,Pacific Time (US & Canada),Kenya,-1.2906953435,36.9964172673,212,,,,31447,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2007/08/12,2007-08-12,,UTC,Kenya,0.1937202974,36.6559012925,231865,,,,231865,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/05/17 12:03 PM CEST,2017-05-17,2017-05-17 10:03:00 UTC,Paris,Kenya,-0.9372488612,36.2011523156,,,,,31449,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/05/17 12:22 PM CEST,2017-05-17,2017-05-17 10:22:00 UTC,Paris,Kenya,-0.9747926813,36.3505070571,,,,,31449,,obscured,true,,,Cape Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2016/10/22 8:56 AM MST,2016-10-22,2016-10-22 14:56:00 UTC,Mountain Time (US & Canada),"Narok, KE",-1.788812117,35.3973721269,,,,,31444,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/05/14 3:24 PM CEST,2017-05-14,2017-05-14 13:24:00 UTC,Paris,"Laikipia, KE",0.093226394,36.8281936522,549,,,,31451,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/05/17 4:24 PM CEST,2017-05-17,2017-05-17 14:24:00 UTC,Paris,"Nakuru, KE",-0.3074828714,36.0185030998,1519,,,,31451,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017-05-27 9:44:02 AM EAT,2017-05-27,2017-05-27 06:44:02 UTC,Nairobi,Kenya,-1.3123290678,36.9449697826,5504,,,,31447,,obscured,true,gps,gps,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
